priority,score,detected_first,place_id,name,formatted_address,ward,rating,user_rating_count,business_status,google_maps_uri
A,84.04,2026-02-27,ChI1Pw1rZfJkoRoaYcEoy4xFZgv,Nalu Studio Omotesando,東京都文京区本郷一丁目5-1-2 □□タワー,文京区,4.3,39,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI1Pw1rZfJkoRoaYcEoy4xFZgv
A,79.98,2026-02-22,ChIztHB2VpGrzK7vPhLjKVjb9dO,Nico Beauty Ginza,東京都杉並区阿佐ヶ谷3-7-1 〇〇ビル,杉並区,4.5,41,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIztHB2VpGrzK7vPhLjKVjb9dO
A,75.64,2026-02-27,ChIsaiCy9Xs5zimo6FGxPqqWKpn,Lumi Lounge Kichijoji,東京都板橋区成増四丁目4-2-6 ルミエール,板橋区,4.3,25,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIsaiCy9Xs5zimo6FGxPqqWKpn
A,71.45,2026-02-23,ChI9wVGFYGW2WmQzCudiH7YFjS1,Rosa Studio Shibuya,東京都中野区東中野二丁目2-5-8 △△レジデンス,中野区,4.5,24,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI9wVGFYGW2WmQzCudiH7YFjS1
A,68.32,2026-02-24,ChIOHMyIPyfBXjkXdzjIn4FETZt,Mimi Works Ebisu,東京都江戸川区船堀一丁目3-7-1 グリーンハイツ,江戸川区,4.5,16,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIOHMyIPyfBXjkXdzjIn4FETZt
A,67.59,2026-02-21,ChIhXnwfocwDNRjI7Sc4sfHBomz,Aile Beauty Kagurazaka,東京都千代田区麹町三丁目1-2-3 △△レジデンス,千代田区,4.7,18,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIhXnwfocwDNRjI7Sc4sfHBomz
A,66.86,2026-02-24,ChIXZdxrlsgJWBeGSa69FH18uJW,Nalu Studio Omotesando,東京都荒川区町屋四丁目2-5-8 サンライトビル,荒川区,4.6,11,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIXZdxrlsgJWBeGSa69FH18uJW
A,62.77,2026-02-22,ChIiZN9b0NfRU1SVjkIk2fyV5rw,Lumi Salon Tokyo,東京都杉並区荻窪二丁目1-2-3 ルミエール,杉並区,4.2,20,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIiZN9b0NfRU1SVjkIk2fyV5rw
A,59.85,2026-02-22,ChI0LiSUGFUqSTcmtbKscWcCu36,Sora Lounge Kagurazaka,東京都港区芝1-1-9 グリーンハイツ,港区,4.4,10,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI0LiSUGFUqSTcmtbKscWcCu36
A,58.86,2026-02-19,ChIqonVF08wPrTOzMJBCPen2xEd,Nico Atelier Ebisu,東京都台東区蔵前3-7-1 グリーンハイツ,台東区,4.7,9,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIqonVF08wPrTOzMJBCPen2xEd
A,58.44,2026-02-23,ChIRycfOWj8YbLrlqYFxnSzPtEF,Nalu Beauty Ebisu,東京都練馬区石神井二丁目1-2-3 コーポさくら,練馬区,4.2,10,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIRycfOWj8YbLrlqYFxnSzPtEF
A,57.76,2026-02-23,ChIgCCCItVzehdJm5gIU7nUKZnv,Nalu Studio Omotesando,東京都文京区本郷四丁目4-2-6 サンライトビル,文京区,4.0,14,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIgCCCItVzehdJm5gIU7nUKZnv
A,55.57,2026-02-22,ChIdcCDX1SEp32FnmgYdlj9yv5C,Kuu Atelier Kichijoji,東京都中央区月島四丁目1-2-3 □□タワー,中央区,4.2,8,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIdcCDX1SEp32FnmgYdlj9yv5C
A,53.83,2026-02-21,ChI8MFPuafjwPseptfcyBFSOZsP,Nalu Studio Omotesando,東京都江戸川区葛西四丁目1-2-3 グリーンハイツ,江戸川区,4.0,13,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI8MFPuafjwPseptfcyBFSOZsP
A,49.93,2026-02-14,ChIIwtecnA5FBQN1Jj8umhbHxSP,Nalu HAIR,東京都中央区月島三丁目5-1-2 ルミエール,中央区,4.7,8,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIIwtecnA5FBQN1Jj8umhbHxSP
A,49.77,2026-02-16,ChIc5gJ1bF86O0c4W7BaDZgXPYF,Sora Atelier,東京都新宿区神楽坂2-5-8 □□タワー,新宿区,4.2,15,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIc5gJ1bF86O0c4W7BaDZgXPYF
A,46.77,2026-02-16,ChIo0fFeWaVUqG2KVasfSq8Z0wj,Lumi Works Tokyo,東京都杉並区阿佐ヶ谷一丁目4-2-6 サンライトビル,杉並区,4.2,10,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIo0fFeWaVUqG2KVasfSq8Z0wj
A,45.24,2026-02-14,ChImrt3DPvCZcOiNw3xDIgSO06u,Noa Studio Kichijoji,東京都港区六本木四丁目1-2-3 サンライトビル,港区,4.2,13,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChImrt3DPvCZcOiNw3xDIgSO06u
B,67.06,2026-02-27,ChIyjqtfJMSN9DlviDvUDDleg62,Haru Beauty,東京都杉並区阿佐ヶ谷三丁目5-1-2 コーポさくら,杉並区,4.6,3,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIyjqtfJMSN9DlviDvUDDleg62
B,64.92,2026-02-27,ChIaLMIyi4Xhg6R1KQ608e9zSv3,Sora HAIR Omotesando,東京都文京区本郷二丁目3-7-1 コーポさくら,文京区,4.5,2,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIaLMIyi4Xhg6R1KQ608e9zSv3
B,64.32,2026-02-27,ChIsrbz86LG6GhJPMnhQ0WRyZFX,Nico Works Shibuya,東京都荒川区西日暮里4-2-6 ルミエール,荒川区,4.5,1,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIsrbz86LG6GhJPMnhQ0WRyZFX
B,62.57,2026-02-26,ChIdP37Ecz32jGDpi1AF7w2PKaf,Kuu Atelier Ebisu,東京都杉並区高円寺三丁目2-5-8 □□タワー,杉並区,4.3,6,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIdP37Ecz32jGDpi1AF7w2PKaf
B,62.57,2026-02-26,ChIQtkoEfdgXDf2kKXKQxG5kruH,Aile Salon,東京都大田区大森二丁目4-2-6 〇〇ビル,大田区,4.3,6,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIQtkoEfdgXDf2kKXKQxG5kruH
B,62.31,2026-02-26,ChI4PXSKc1itTnzphAq0jT7qG84,Rin Room Tokyo,東京都北区王子一丁目3-7-1 〇〇ビル,北区,4.4,3,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI4PXSKc1itTnzphAq0jT7qG84
B,60.64,2026-02-27,ChIp9BDe2ZbrGft6cE5FUmJEIRn,Rosa Studio Ebisu,東京都練馬区練馬四丁目3-7-1 サンライトビル,練馬区,4.3,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIp9BDe2ZbrGft6cE5FUmJEIRn
B,60.64,2026-02-27,ChI41xjolLx9Ibg63D1HhJTKKU7,Mimi Atelier Kichijoji,東京都杉並区阿佐ヶ谷四丁目3-7-1 △△レジデンス,杉並区,4.3,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI41xjolLx9Ibg63D1HhJTKKU7
B,60.64,2026-02-27,ChIIyN0NzDkWiRmiKUtSSkR82g5,Rosa HAIR Ginza,東京都江戸川区船堀三丁目2-5-8 グリーンハイツ,江戸川区,4.3,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIIyN0NzDkWiRmiKUtSSkR82g5
B,59.58,2026-02-24,ChIRGIFLbcjjgaGBFWjFmmyU3YA,Nalu Lounge Ebisu,東京都千代田区丸の内三丁目3-7-1 ルミエール,千代田区,4.4,4,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIRGIFLbcjjgaGBFWjFmmyU3YA
B,59.53,2026-02-21,ChIYHPfomEh4AX7UIY31kaXirLw,Kuu HAIR,東京都渋谷区代官山2-5-8 サンライトビル,渋谷区,4.8,2,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIYHPfomEh4AX7UIY31kaXirLw
B,58.22,2026-02-26,ChI3rxvD6mvf155SxzOmzWOoMnQ,Rosa Beauty Tokyo,東京都千代田区麹町二丁目1-2-3 グリーンハイツ,千代田区,3.9,9,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI3rxvD6mvf155SxzOmzWOoMnQ
B,58.04,2026-02-26,ChI9shdDjP62HdIzdqhjmU8w5cn,Mimi Lounge Omotesando,東京都新宿区四谷一丁目2-5-8 ルミエール,新宿区,4.2,1,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI9shdDjP62HdIzdqhjmU8w5cn
B,57.91,2026-02-25,ChI1XKXWNqRs7rpEmoKiuPKdYR7,Rosa Atelier Kichijoji,東京都新宿区四谷二丁目1-1-9 コーポさくら,新宿区,4.3,1,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI1XKXWNqRs7rpEmoKiuPKdYR7
B,57.36,2026-02-26,ChIgkPtJSbAnWPkaLqqFhXE9hig,Haru Salon Ebisu,東京都豊島区目白四丁目1-2-3 コーポさくら,豊島区,4.0,5,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIgkPtJSbAnWPkaLqqFhXE9hig
B,56.67,2026-02-20,ChIqJ6WT9psqZImt8FTjYpyV0Iq,Mimi HAIR Ebisu,東京都練馬区練馬二丁目1-2-3 グリーンハイツ,練馬区,4.8,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIqJ6WT9psqZImt8FTjYpyV0Iq
B,55.56,2026-02-24,ChIaSJMVOYk1Pfjp8rVQw0f9upv,Kuu Works Ginza,東京都品川区天王洲四丁目4-2-6 コーポさくら,品川区,4.1,5,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIaSJMVOYk1Pfjp8rVQw0f9upv
B,55.38,2026-02-22,ChIJtRFC6O52has5XdvFlGgIo0Z,moi Salon Ebisu,東京都北区赤羽三丁目1-1-9 〇〇ビル,北区,4.5,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIJtRFC6O52has5XdvFlGgIo0Z
