priority,score,detected_first,place_id,name,formatted_address,ward,rating,user_rating_count,phone,website,business_status,google_maps_uri
A,100.0,2026-03-01,ChIJC0P6uBSNGGARrtYGAHHOAR4,Re:ICE,〒171-0031 東京都豊島区目白３丁目４−１２ 島幸ビル 501,豊島区,4.9,51,03-3565-6965,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000563800/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=2162236280841623214&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,100.0,2026-03-01,ChIJQ_be9fyEGGARTjp0m_RXCWY,Lattan 松戸西口店【ラタン】,〒271-0092 千葉県松戸市松戸１３０５−２ サンライズ 3F,,4.9,179,047-330-0030,"=HYPERLINK(""https://lattan.biz/concept/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=7352504574750767694&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,100.0,2026-03-01,ChIJTb4X9qqNGGAReLFeX8ulqj0,navile harajuku 【ネイヴィル】,〒151-0051 東京都渋谷区千駄ケ谷３丁目５１−６ B１,渋谷区,4.8,192,03-6804-3422,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000412737/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=4443546275251401080&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,100.0,2026-03-01,ChIJVas1CR71GGARwAV7KPmnSCw,COLORS Island 自由が丘,〒152-0035 東京都目黒区自由が丘２丁目１５−２２ オカベビル 2F,目黒区,4.9,61,03-6459-5258,"=HYPERLINK(""https://short.salondenet.jp/OpXWo4Ur"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=3190985024559842752&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,100.0,2026-03-01,ChIJXcBlv6iMGGAREUxGW-8hW3Y,DECO【デコ】,〒150-0041 東京都渋谷区神南１丁目３−１０ １階,渋谷区,5.0,120,03-3496-0709,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=8528447631268400145&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,100.0,2026-03-01,ChIJlWbrjIJfGGARmCNCaj1vqWc,Viola by FUGA hair,〒223-0053 神奈川県横浜市港北区綱島西１丁目１−３ 2F,,4.9,70,045-947-3658,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=7469623766537085848&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,100.0,2026-03-01,ChIJr07FwrqMGGARTw7PJ8niunM,TONI&GUY 原宿店,〒150-0001 東京都渋谷区神宮前１丁目１４−３４ 原宿神宮の森 3F,渋谷区,4.8,191,03-5785-2726,"=HYPERLINK(""https://toniguy.tokyo/main/salon/harajuku/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=8339227013614079567&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,98.46,2026-03-01,ChIJ0WP65VuNGGARGsTPaKmW6ys,ヘアリゾート ラグーン(hair+resort lagoon),〒171-0021 東京都豊島区西池袋３丁目３３−２４ アポロマンション 1b,豊島区,4.7,85,03-6912-6756,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000224172/?vos=alhpbxalotzzx00000001"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=3164788817509991450&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,96.92,2026-03-01,ChIJX5OkuKSMGGARBOpJc1bNhDQ,OCEAN TOKYO Sunny【オーシャントーキョーサニー】,〒150-0001 東京都渋谷区神宮前１丁目１０−２３ フォンテーヌ原宿ビル ル・シャトーデ・フォンテーヌビル1F-2号,渋谷区,4.6,83,03-6447-5032,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000394597/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=3784375358083164676&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,94.6,2026-03-01,ChIJ8SfY9Y6NGGARNRvMBRgEpmw,Null 原宿店,"〒150-0001 東京都渋谷区神宮前１丁目１４−４ HARAJUKU ""K 1/1 4F",渋谷区,5.0,41,,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=7828949503453174581&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,93.06,2026-03-01,ChIJI_wriRWLGGARdTjqnZbiyK8,AGEE GARDEN,〒150-0022 東京都渋谷区恵比寿南１丁目２５−１ 恵比寿プラックスビル 2F,渋谷区,4.7,41,03-5768-9650,"=HYPERLINK(""https://ageegarden-ebisu.com/?utm_source=google&utm_medium=maps"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=12666623088501864565&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,92.31,2026-03-01,ChIJcXM7PdaIGGARtVGKYlNhXbk,カット専門店 fine 錦糸町店,〒130-0013 東京都墨田区錦糸３丁目１３−５ １ｆ,墨田区,4.3,155,03-5637-7995,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=13356939080614171061&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,90.77,2026-03-01,ChIJ71LpKaSMGGAR2zkCPUjoZ0o,ROJITHA 原宿/表参道,〒150-0001 東京都渋谷区神宮前１丁目９−８ KI bldg 1F,渋谷区,4.2,74,03-6427-3460,"=HYPERLINK(""http://h-company.jp/rojitha/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=5361509278366710235&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,86.57,2026-03-01,ChIJJ5JoKbuMGGARhywy8OWvfAA,GO TODAY シェアサロン 原宿本店,"〒150-0001 東京都渋谷区神宮前１丁目１４−３４ FPG Links Harajuku, 6F,7F",渋谷区,4.2,43,,"=HYPERLINK(""https://www.shairesalon-go.today/shop/tokyo/harajuku/harajuku/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=35096299224312967&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,81.4,2026-03-01,ChIJkX6-YgDxGGARo5o_zRn36zU,hair salon Ciel links Lien,〒182-0022 東京都調布市国領町４丁目8−１ プラザ・パレットグランドール武戸野 1階0029号室,,4.9,19,042-444-1533,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000743074/?vos=cpahpbprosmaf131118002"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=3885470793726925475&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,79.52,2026-03-01,ChIJlxAARdSNGGAR5PyBZWBZQGw,Hank.,〒150-0001 東京都渋谷区神宮前３丁目６−４ pure omotesando1F,渋谷区,4.6,21,03-6804-5722,"=HYPERLINK(""https://www.hank.tokyo/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=7800332825160449252&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,77.2,2026-03-01,ChIJ0ZGQo2CSGGAR0co0WySibA0,ピリカ,〒114-0002 東京都北区王子５丁目１０−５ 105号,北区,4.8,12,03-3927-4472,"=HYPERLINK(""http://pirika-scissors.com/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=967326297010522833&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,77.2,2026-03-01,ChIJt1CiwOH0GGARVfAVWHKM5xQ,Sette 自由が丘店,〒152-0035 東京都目黒区自由が丘２丁目８−２１ メゾン・クルツ,目黒区,5.0,12,03-5701-8886,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000728100/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=1506327023110713429&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,71.98,2026-03-01,ChIJfWDqIOaNGGARI_j8oOrdsRE,インシエム(Insieme),〒114-0012 東京都北区田端新町３丁目２５−３ ロイヤルベル 1F,北区,4.5,11,03-6807-8007,"=HYPERLINK(""http://insieme-bell.com/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=1275044169315579939&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,71.91,2026-03-01,ChIJa610tNVhGGAR-LFicmy3-0U,美容室こんぺい灯,〒140-0013 東京都品川区南大井５丁目４−９,品川区,4.3,16,03-6450-0550,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=5042825884174823928&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,71.72,2026-03-01,ChIJWTNxqHb1GGARikepLf8Jtug,hasami,〒211-0068 神奈川県川崎市中原区小杉御殿町２丁目１７２,,4.6,8,044-819-4179,"=HYPERLINK(""http://hasami.org/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=16768601254147999626&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,70.18,2026-03-01,ChIJbcCqwObzGGARDiMeYfkMKEI,CASANE,〒155-0031 東京都世田谷区北沢２丁目２７−２ L’tia 下北沢 ２F,世田谷区,4.5,8,03-6804-8089,"=HYPERLINK(""http://casane.salon/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=4767074470787425038&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
A,65.49,2026-03-01,ChIJiW59xT3zGGARUelwcDt7IgU,suii. hair salon 下北沢美容室,〒155-0031 東京都世田谷区北沢２丁目９−１７ 田中ビル 2階,世田谷区,4.0,13,03-6804-8225,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000517084/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=369993614617536849&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,81.54,2026-03-01,ChIJierVCAqNGGARUrkFbrb91bY,プロミルサロン,〒150-0001 東京都渋谷区神宮前１丁目１４−２１ イルサリチェビル １階＆地下１階,渋谷区,3.6,50,03-6384-5433,"=HYPERLINK(""https://www.promillesalon.com/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=13174715244913998162&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,80.42,2026-03-01,ChIJSfmvwEWOGGARSMKk_HWGsUY,HAIR STUDIO CRIB,〒120-0034 東京都足立区千住２丁目３１−３ コーポ松乃,足立区,3.8,43,03-5284-8070,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000345245/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=5094000494840693320&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,78.62,2026-03-01,ChIJAyetD1yNGGARMywvwviq1yY,est hair 池袋西口店,〒171-0021 東京都豊島区西池袋３丁目６−月23 日 松本ビル 5F,豊島区,3.8,40,03-5927-1377,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000297485/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=2798893678820535347&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,74.42,2026-03-01,ChIJYbk7x271GGARHB5DEtQDlLg,grow 溝の口,〒213-0001 神奈川県川崎市高津区溝口１丁目２０−１０ 東方ビル 2F,,3.8,33,044-299-8540,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=13300259808906255900&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,72.4,2026-03-01,ChIJEZJcLFPrGGARpYe_dp06XIo,Hair Salon EYE'S,〒351-0101 埼玉県和光市白子１丁目１９−１９ 1F,,5.0,4,048-468-3721,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=9969908123067975589&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,72.4,2026-03-01,ChIJNf3NqXVhGGARiV6BBZjHXRY,パタンナー,〒210-0001 神奈川県川崎市川崎区本町１丁目６−３,,4.8,4,044-874-6441,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=1611663697409826441&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,71.2,2026-03-01,ChIJoZI7t-1fGGAR87tYS0d_35E,Barrel,〒223-0053 神奈川県横浜市港北区綱島西１丁目１−３２ シックスセンス綱島 ６Ｆ,,5.0,2,045-654-2964,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000564822/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=10511259999489539059&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,71.08,2026-03-01,ChIJ0T3tnCb0GGARAVxVnoNWSpc,toledo9 by HEADLIGHT 溝の口店,〒213-0001 神奈川県川崎市高津区溝口１丁目１４−６ クロカワビル 4F,,3.7,30,044-322-0502,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000263659"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=10901620971300805633&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,70.6,2026-03-01,ChIJIZV3VrRhGGARavELk_74TfQ,川合英二美容室,〒143-0016 東京都大田区大森北６丁目１３−７ レストプラザ,大田区,5.0,1,03-3763-5319,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=17604000290733551978&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,70.6,2026-03-01,ChIJSz0mQrJhGGARTDd2sEGG_xc,ヘアーサロンスギ,〒143-0012 東京都大田区大森東２丁目６−３,大田区,5.0,1,03-3762-3392,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=1729248398625093452&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,68.15,2026-03-01,ChIJ78vyrCmNGGARU3NXxyu33KI,ローマー 表参道,〒150-0001 東京都渋谷区神宮前１丁目９−６ 2F,渋谷区,3.9,20,03-6455-4244,"=HYPERLINK(""https://www.instagram.com/roamer.hair/?hl=ja"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=11735456127676543827&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,68.0,2026-03-01,ChIJB1DNS-DrGGAR2u_er0unHq8,アトリエ プレゼンツ 和光店 (atelier Present's),〒351-0114 埼玉県和光市本町１２−１６ アクアメゾン,,2.8,30,048-466-1222,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=12618707149453717466&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,63.77,2026-03-01,ChIJMVASeYzpGGARUsOqNRCPF3k,mui hair&eyelash,〒352-0001 埼玉県新座市東北２丁目１８−２０ ゴールデンハウス 1F,,4.2,5,048-487-7776,"=HYPERLINK(""https://beauty.hotpepper.jp/kr/slnH000580861/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=8725600102836257618&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,61.4,2026-03-01,ChIJvbpCnfeNGGARospiHHWwIzE,SALOWIN原宿iori店｜フリーランス美容師のためのシェアサロン,"〒150-0001 東京都渋谷区神宮前６丁目３１−１１ 1F,B1F",渋谷区,2.4,19,03-6421-0834,"=HYPERLINK(""https://salowin.jp/share_salon/harajyuku-iori/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=3540867749077240482&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,60.69,2026-03-01,ChIJg6zsnnBfGGAR9_sGUS4m42Y,La Pace（ラパーチェ）,〒223-0062 神奈川県横浜市港北区日吉本町１丁目１６−１５ HKビル 1F,,4.0,5,045-562-2144,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000100995/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=7413811391951731703&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,58.4,2026-03-01,ChIJ1xRdPB5hGGARLjT8BCwFlU4,クイックカットBB MEGAドン・キホーテ大森山王店,〒143-0023 東京都大田区山王３丁目６−３ MEGAドン・キホーテ大森山王店,大田区,3.4,14,011-380-2362,"=HYPERLINK(""https://quickcutbb.com/shop/%E3%82%AF%E3%82%A4%E3%83%83%E3%82%AF%E3%82%AB%E3%83%83%E3%83%88bb-mega%E3%83%89%E3%83%B3%E3%83%BB%E3%82%AD%E3%83%9B%E3%83%BC%E3%83%86%E5%A4%A7%E6%A3%AE%E5%B1%B1%E7%8E%8B%E5%BA%97/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=5662437793108603950&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,57.62,2026-03-01,ChIJ_3hxudjrGGARpWAsECYkzVc,france gall フランスギャル,〒351-0114 埼玉県和光市本町１５−３４ A FLAT1階,,3.8,5,048-466-9588,"=HYPERLINK(""http://francegall.jimdofree.com/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=6326752797424115877&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
B,56.6,2026-03-01,ChIJX2hW3PCNGGARkpS-IFxjbU8,PROGRESS+【プログレスプラス】,〒160-0021 東京都新宿区歌舞伎町１丁目８−５ 第16東京ビル 2F,新宿区,2.5,11,03-5155-2408,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=5723339948795270290&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
